Date,Open,High,Low,Close
10/31/22, 1515.46, 1540.19, 1502.85, 1527.60
10/28/22, 1549.91, 1549.91, 1495.24, 1515.46
10/27/22, 1569.01, 1569.01, 1540.51, 1549.92
10/26/22, 1549.37, 1598.02, 1546.81, 1569.01
10/25/22, 1545.64, 1556.36, 1516.04, 1549.37
10/24/22, 1580.45, 1580.45, 1535.89, 1545.64
10/21/22, 1500.53, 1586.66, 1500.53, 1580.45
10/20/22, 1478.07, 1532.69, 1465.56, 1500.53
10/19/22, 1498.03, 1502.87, 1469.26, 1478.07
10/18/22, 1476.27, 1517.77, 1476.27, 1498.03
10/17/22, 1437.51, 1493.89, 1437.51, 1476.27
10/14/22, 1501.59, 1501.59, 1435.54, 1437.51
10/13/22, 1464.68, 1510.36, 1423.57, 1501.59
10/12/22, 1474.77, 1477.90, 1448.35, 1464.68
10/11/22, 1484.97, 1499.73, 1461.12, 1474.77
10/10/22, 1468.95, 1497.65, 1468.95, 1484.97
10/07/22, 1486.24, 1494.61, 1463.41, 1468.95
10/06/22, 1509.75, 1510.03, 1480.95, 1486.24
10/05/22, 1518.65, 1519.13, 1484.22, 1509.75
10/04/22, 1458.37, 1519.69, 1458.37, 1518.65
10/03/22, 1372.04, 1463.98, 1372.04, 1458.37
09/30/22, 1371.59, 1399.47, 1354.48, 1372.03
09/29/22, 1395.90, 1395.90, 1353.28, 1371.59
09/28/22, 1368.29, 1402.52, 1359.94, 1395.90
09/27/22, 1343.26, 1385.24, 1343.26, 1368.29
09/26/22, 1375.74, 1384.48, 1340.92, 1343.26
09/23/22, 1439.03, 1439.03, 1357.60, 1375.74
09/22/22, 1430.52, 1463.64, 1430.52, 1439.03
09/21/22, 1458.59, 1475.71, 1430.52, 1430.52
09/20/22, 1490.95, 1490.95, 1445.37, 1458.59
09/19/22, 1449.24, 1495.49, 1427.63, 1490.95
09/16/22, 1457.23, 1457.23, 1432.11, 1449.24
09/15/22, 1466.50, 1481.05, 1450.53, 1457.23
09/14/22, 1531.75, 1531.75, 1451.67, 1466.50
09/13/22, 1598.49, 1598.49, 1526.72, 1531.75
09/12/22, 1595.49, 1620.67, 1593.74, 1598.49
09/09/22, 1519.28, 1596.69, 1519.28, 1595.50
09/08/22, 1506.22, 1524.05, 1488.33, 1519.28
09/07/22, 1493.14, 1510.62, 1459.00, 1506.22
09/06/22, 1486.74, 1511.87, 1482.33, 1493.14
09/02/22, 1479.72, 1522.16, 1479.72, 1486.74
09/01/22, 1524.06, 1524.06, 1456.45, 1479.72
08/31/22, 1548.73, 1548.73, 1519.75, 1524.06
08/30/22, 1610.32, 1610.32, 1543.39, 1548.73
08/29/22, 1613.25, 1632.10, 1593.50, 1610.32
08/26/22, 1646.40, 1662.52, 1612.69, 1613.25
08/25/22, 1597.03, 1646.45, 1597.03, 1646.40
08/24/22, 1605.58, 1605.58, 1575.84, 1597.03
08/23/22, 1550.85, 1615.74, 1550.85, 1605.58
08/22/22, 1578.16, 1578.16, 1543.18, 1550.85
08/19/22, 1619.96, 1619.96, 1569.85, 1578.16
08/18/22, 1611.47, 1625.45, 1611.47, 1619.96
08/17/22, 1646.71, 1646.71, 1604.24, 1611.47
08/16/22, 1628.37, 1654.42, 1628.37, 1646.71
08/15/22, 1653.55, 1653.55, 1598.09, 1628.37
08/12/22, 1634.84, 1658.68, 1626.67, 1653.55
08/11/22, 1631.17, 1669.60, 1631.17, 1634.84
08/10/22, 1595.65, 1635.84, 1595.65, 1631.17
08/09/22, 1573.62, 1595.67, 1572.76, 1595.65
08/08/22, 1563.23, 1601.19, 1563.23, 1573.62
08/05/22, 1533.14, 1580.06, 1521.53, 1563.23
08/04/22, 1515.84, 1550.94, 1505.39, 1533.14
08/03/22, 1532.48, 1534.23, 1510.18, 1515.84
