Date,Open,High,Low,Close
10/31/22, 1515.46, 1540.19, 1502.85, 1527.60
10/28/22, 1549.91, 1549.91, 1495.24, 1515.46
10/27/22, 1569.01, 1569.01, 1540.51, 1549.92
10/26/22, 1549.37, 1598.02, 1546.81, 1569.01
10/25/22, 1545.64, 1556.36, 1516.04, 1549.37
10/24/22, 1580.45, 1580.45, 1535.89, 1545.64
10/21/22, 1500.53, 1586.66, 1500.53, 1580.45
10/20/22, 1478.07, 1532.69, 1465.56, 1500.53
10/19/22, 1498.03, 1502.87, 1469.26, 1478.07
10/18/22, 1476.27, 1517.77, 1476.27, 1498.03
10/17/22, 1437.51, 1493.89, 1437.51, 1476.27
10/14/22, 1501.59, 1501.59, 1435.54, 1437.51
10/13/22, 1464.68, 1510.36, 1423.57, 1501.59
10/12/22, 1474.77, 1477.90, 1448.35, 1464.68
10/11/22, 1484.97, 1499.73, 1461.12, 1474.77
10/10/22, 1468.95, 1497.65, 1468.95, 1484.97
10/07/22, 1486.24, 1494.61, 1463.41, 1468.95
10/06/22, 1509.75, 1510.03, 1480.95, 1486.24
10/05/22, 1518.65, 1519.13, 1484.22, 1509.75
10/04/22, 1458.37, 1519.69, 1458.37, 1518.65
10/03/22, 1372.04, 1463.98, 1372.04, 1458.37
09/30/22, 1371.59, 1399.47, 1354.48, 1372.03
09/29/22, 1395.90, 1395.90, 1353.28, 1371.59
09/28/22, 1368.29, 1402.52, 1359.94, 1395.90
09/27/22, 1343.26, 1385.24, 1343.26, 1368.29
09/26/22, 1375.74, 1384.48, 1340.92, 1343.26
09/23/22, 1439.03, 1439.03, 1357.60, 1375.74
09/22/22, 1430.52, 1463.64, 1430.52, 1439.03
09/21/22, 1458.59, 1475.71, 1430.52, 1430.52
09/20/22, 1490.95, 1490.95, 1445.37, 1458.59
09/19/22, 1449.24, 1495.49, 1427.63, 1490.95
09/16/22, 1457.23, 1457.23, 1432.11, 1449.24
09/15/22, 1466.50, 1481.05, 1450.53, 1457.23
09/14/22, 1531.75, 1531.75, 1451.67, 1466.50
