carrera,VER,PER,LEC,RUS,HAM,SAI,NOR,OCO,ALO,BOT,VET,RIC,MAG,GAS,STR,SCH,TSU,ZHO,ALB,LAT,VRI,HUL
1,0,0,26,12,15,18,0,6,2,8,0,0,10,0,0,0,4,1,0,0,0,0
2,25,12,19,10,1,15,6,8,0,0,0,0,2,4,0,0,0,0,0,0,0,0
3,0,18,26,15,12,0,10,6,0,4,0,8,0,2,0,0,0,0,1,0,0,0
4,34,24,15,12,0,5,19,0,0,12,4,3,3,0,1,0,6,0,0,0,0,0
5,26,12,18,10,8,15,0,4,0,6,0,0,0,0,1,0,0,0,2,0,0,0
6,25,19,0,15,10,12,4,6,2,8,0,0,0,0,0,0,1,0,0,0,0,0
7,15,25,12,10,4,18,9,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0
8,25,19,0,15,12,0,2,1,6,0,8,4,0,10,0,0,0,0,0,0,0,0
9,25,0,10,12,15,19,0,8,2,6,0,0,0,0,1,0,0,4,0,0,0,0
10,6,18,12,0,16,25,8,0,10,0,2,0,1,0,0,4,0,0,0,0,0,0
11,27,4,32,17,16,6,6,13,1,0,0,2,6,0,0,8,0,0,0,0,0,0
12,25,12,0,15,18,11,6,4,8,0,0,2,0,0,1,0,0,0,0,0,0,0
13,25,10,8,15,19,12,6,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,26,18,8,12,0,15,0,6,10,0,4,0,0,2,0,0,0,0,1,0,0,0
15,26,10,15,18,12,4,6,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0
16,25,9,18,15,10,12,6,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0
17,6,25,18,0,2,15,12,0,0,0,4,10,0,1,8,0,0,0,0,0,0,0
18,25,18,15,4,10,0,1,12,6,0,8,0,0,0,0,0,0,0,0,2,0,0
19,25,12,15,11,18,0,8,0,6,0,4,0,2,0,0,0,1,0,0,0,0,0
20,25,15,8,13,18,10,2,4,0,1,0,6,0,0,0,0,0,0,0,0,0,0
21,13,10,15,34,24,22,2,4,10,2,0,1,0,1,0,0,0,0,0,0,0
