Anio,Torneo,Jornada,Fecha,Lugar,Local,GolesLocal,GolesVisitante,Visitante
2022,apertura_mexico,1,23 Jul 21 a las 04:00,Estadio Corregidora, Querétaro,0,0, América
2022,apertura_mexico,1,24 Jul 21 a las 02:00,Estadio Victoria de Aguascalientes, Necaxa,0,3, Santos Laguna
2022,apertura_mexico,1,24 Jul 21 a las 04:00,Estadio Olímpico Benito Juárez, FC Juárez,1,3, Toluca
2022,apertura_mexico,1,24 Jul 21 a las 23:00,Estadio Miguel Hidalgo, Pachuca,4,0, León
2022,apertura_mexico,1,25 Jul 21 a las 04:00,Estadio Akron, Chivas Guadalajara,1,2, Atl. San Luis
2022,apertura_mexico,1,25 Jul 21 a las 19:00,Olímpico de Universitario, Pumas UNAM,0,0, Atlas Guadalajara
2022,apertura_mexico,1,26 Jul 21 a las 02:06,BBVA Bancomer, Monterrey,1,1, Puebla
2022,apertura_mexico,1,26 Jul 21 a las 04:06,Estadio Caliente, Tijuana,1,2, Tigres UANL
2022,apertura_mexico,1,27 Jul 21 a las 03:00,Estadio Azteca, Cruz Azul,0,2, Mazatlán
2022,apertura_mexico,2,31 Jul 21 a las 02:00,Estadio de Mazatlán, Mazatlán,2,1, Pachuca
2022,apertura_mexico,2,31 Jul 21 a las 04:05,Cuauhtémoc, Puebla,0,2, Chivas Guadalajara
2022,apertura_mexico,2,01 Ago 21 a las 00:00,Estadio León (Nou Camp), León,2,1, Tijuana
2022,apertura_mexico,2,01 Ago 21 a las 02:00,Estadio Azteca, América,2,1, Necaxa
2022,apertura_mexico,2,01 Ago 21 a las 04:00,BBVA Bancomer, Monterrey,2,0, Pumas UNAM
2022,apertura_mexico,2,01 Ago 21 a las 04:00,Estadio Jalisco, Atlas Guadalajara,2,0, FC Juárez
2022,apertura_mexico,2,01 Ago 21 a las 19:00,Nemesio Díez, Toluca,3,1, Tigres UANL
2022,apertura_mexico,2,02 Ago 21 a las 01:00,Nuevo Estadio Corona, Santos Laguna,1,1, Cruz Azul
2022,apertura_mexico,2,03 Ago 21 a las 04:00,Alfonso Lastras Ramírez, Atl. San Luis,1,1, Querétaro
2022,apertura_mexico,3,06 Ago 21 a las 04:05,Estadio Corregidora, Querétaro,0,1, León
2022,apertura_mexico,3,07 Ago 21 a las 02:00,Estadio de Mazatlán, Mazatlán,1,1, Monterrey
2022,apertura_mexico,3,07 Ago 21 a las 04:05,Estadio Victoria de Aguascalientes, Necaxa,1,2, Cruz Azul
2022,apertura_mexico,3,07 Ago 21 a las 04:06,Estadio Caliente, Tijuana,0,2, Toluca
2022,apertura_mexico,3,08 Ago 21 a las 00:00,Estadio Akron, Chivas Guadalajara,2,2, FC Juárez
2022,apertura_mexico,3,08 Ago 21 a las 02:00,Estadio Azteca, América,2,0, Puebla
2022,apertura_mexico,3,08 Ago 21 a las 04:00,Estadio Universitario de Nuevo León, Tigres UANL,1,1, Santos Laguna
2022,apertura_mexico,3,08 Ago 21 a las 19:00,Olímpico de Universitario, Pumas UNAM,1,3, Atl. San Luis
2022,apertura_mexico,3,10 Ago 21 a las 04:00,Estadio Miguel Hidalgo, Pachuca,0,1, Atlas Guadalajara
2022,apertura_mexico,4,13 Ago 21 a las 04:00,Alfonso Lastras Ramírez, Atl. San Luis,0,2, Necaxa
2022,apertura_mexico,4,14 Ago 21 a las 02:00,Cuauhtémoc, Puebla,1,1, Tigres UANL
2022,apertura_mexico,4,14 Ago 21 a las 04:00,Estadio Olímpico Benito Juárez, FC Juárez,1,1, Tijuana
2022,apertura_mexico,4,15 Ago 21 a las 00:00,Olímpico de Universitario, Pumas UNAM,0,0, Querétaro
2022,apertura_mexico,4,15 Ago 21 a las 02:45,Estadio León (Nou Camp), León,3,0, Mazatlán
2022,apertura_mexico,4,15 Ago 21 a las 04:00,Estadio Azteca, Cruz Azul,4,0, Toluca
2022,apertura_mexico,4,15 Ago 21 a las 04:06,BBVA Bancomer, Monterrey,3,1, Pachuca
2022,apertura_mexico,4,16 Ago 21 a las 00:00,Estadio Jalisco, Atlas Guadalajara,0,1, América
2022,apertura_mexico,4,16 Ago 21 a las 02:06,Nuevo Estadio Corona, Santos Laguna,0,0, Chivas Guadalajara
2022,apertura_mexico,5,18 Ago 21 a las 00:00,Nemesio Díez, Toluca,2,2, Mazatlán
2022,apertura_mexico,5,18 Ago 21 a las 02:00,Estadio Universitario de Nuevo León, Tigres UANL,3,0, Querétaro
2022,apertura_mexico,5,18 Ago 21 a las 04:00,Estadio Victoria de Aguascalientes, Necaxa,3,0, Pumas UNAM
2022,apertura_mexico,5,18 Ago 21 a las 04:06,Estadio Caliente, Tijuana,1,1, Puebla
2022,apertura_mexico,5,19 Ago 21 a las 02:00,Estadio Azteca, Cruz Azul,1,1, Monterrey
2022,apertura_mexico,5,19 Ago 21 a las 02:00,Nuevo Estadio Corona, Santos Laguna,1,1, Atlas Guadalajara
2022,apertura_mexico,5,19 Ago 21 a las 04:00,Estadio Akron, Chivas Guadalajara,0,3, León
2022,apertura_mexico,5,19 Ago 21 a las 04:00,Estadio Olímpico Benito Juárez, FC Juárez,1,2, América
2022,apertura_mexico,5,04 Nov 21 a las 02:00,Estadio Miguel Hidalgo, Pachuca,0,0, Atl. San Luis
2022,apertura_mexico,6,21 Ago 21 a las 04:00,Estadio de Mazatlán, Mazatlán,0,3, Tigres UANL
2022,apertura_mexico,6,22 Ago 21 a las 00:00,Estadio Jalisco, Atlas Guadalajara,0,0, Toluca
2022,apertura_mexico,6,22 Ago 21 a las 02:00,Estadio León (Nou Camp), León,1,1, Santos Laguna
2022,apertura_mexico,6,22 Ago 21 a las 04:00,Alfonso Lastras Ramírez, Atl. San Luis,0,0, Cruz Azul
2022,apertura_mexico,6,22 Ago 21 a las 04:36,BBVA Bancomer, Monterrey,0,0, Chivas Guadalajara
2022,apertura_mexico,6,22 Ago 21 a las 19:00,Olímpico de Universitario, Pumas UNAM,2,0, Puebla
2022,apertura_mexico,6,23 Ago 21 a las 00:00,Estadio Azteca, América,2,0, Tijuana
2022,apertura_mexico,6,23 Ago 21 a las 02:00,Estadio Victoria de Aguascalientes, Necaxa,1,0, FC Juárez
2022,apertura_mexico,6,23 Ago 21 a las 04:00,Estadio Corregidora, Querétaro,0,2, Pachuca
2022,apertura_mexico,7,28 Ago 21 a las 02:00,Estadio de Mazatlán, Mazatlán,2,2, Atl. San Luis
2022,apertura_mexico,7,28 Ago 21 a las 04:00,Cuauhtémoc, Puebla,1,0, Querétaro
2022,apertura_mexico,7,28 Ago 21 a las 04:06,Estadio Caliente, Tijuana,2,2, Monterrey
2022,apertura_mexico,7,29 Ago 21 a las 00:00,Estadio Akron, Chivas Guadalajara,2,1, Necaxa
2022,apertura_mexico,7,29 Ago 21 a las 02:00,Estadio Universitario de Nuevo León, Tigres UANL,1,1, Atlas Guadalajara
2022,apertura_mexico,7,29 Ago 21 a las 04:00,Estadio León (Nou Camp), León,1,1, América
2022,apertura_mexico,7,29 Ago 21 a las 19:00,Nemesio Díez, Toluca,2,1, Pumas UNAM
2022,apertura_mexico,7,30 Ago 21 a las 01:00,Nuevo Estadio Corona, Santos Laguna,2,0, FC Juárez
2022,apertura_mexico,7,30 Ago 21 a las 03:00,Estadio Azteca, Cruz Azul,1,1, Pachuca
2022,apertura_mexico,8,11 Sep 21 a las 02:00,Cuauhtémoc, Puebla,2,2, Atl. San Luis
2022,apertura_mexico,8,11 Sep 21 a las 04:00,Estadio Olímpico Benito Juárez, FC Juárez,2,1, Cruz Azul
2022,apertura_mexico,8,11 Sep 21 a las 04:06,Estadio Caliente, Tijuana,2,1, Santos Laguna
2022,apertura_mexico,8,12 Sep 21 a las 00:00,Estadio Jalisco, Atlas Guadalajara,2,1, Monterrey
2022,apertura_mexico,8,12 Sep 21 a las 02:00,Estadio Universitario de Nuevo León, Tigres UANL,2,2, León
2022,apertura_mexico,8,12 Sep 21 a las 04:00,Estadio Azteca, América,2,0, Mazatlán
2022,apertura_mexico,8,13 Sep 21 a las 00:00,Olímpico de Universitario, Pumas UNAM,0,0, Chivas Guadalajara
2022,apertura_mexico,8,13 Sep 21 a las 02:00,Estadio Corregidora, Querétaro,3,0, Necaxa
2022,apertura_mexico,8,14 Sep 21 a las 04:00,Estadio Miguel Hidalgo, Pachuca,1,2, Toluca
2022,apertura_mexico,9,17 Sep 21 a las 02:00,Alfonso Lastras Ramírez, Atl. San Luis,4,1, Tijuana
2022,apertura_mexico,9,18 Sep 21 a las 04:00,Estadio Victoria de Aguascalientes, Necaxa,0,3, Atlas Guadalajara
2022,apertura_mexico,9,19 Sep 21 a las 00:00,Estadio León (Nou Camp), León,0,1, FC Juárez
2022,apertura_mexico,9,19 Sep 21 a las 02:00,Nemesio Díez, Toluca,3,1, América
2022,apertura_mexico,9,19 Sep 21 a las 04:00,Estadio de Mazatlán, Mazatlán,2,2, Pumas UNAM
2022,apertura_mexico,9,19 Sep 21 a las 04:00,Estadio Akron, Chivas Guadalajara,1,0, Pachuca
2022,apertura_mexico,9,20 Sep 21 a las 02:00,Estadio Azteca, Cruz Azul,2,0, Querétaro
2022,apertura_mexico,9,20 Sep 21 a las 02:06,BBVA Bancomer, Monterrey,2,0, Tigres UANL
2022,apertura_mexico,9,20 Sep 21 a las 04:06,Nuevo Estadio Corona, Santos Laguna,1,1, Puebla
2022,apertura_mexico,10,24 Sep 21 a las 04:00,Estadio Miguel Hidalgo, Pachuca,1,0, Necaxa
2022,apertura_mexico,10,25 Sep 21 a las 03:00,Cuauhtémoc, Puebla,1,1, Cruz Azul
2022,apertura_mexico,10,25 Sep 21 a las 04:06,Estadio Caliente, Tijuana,0,0, Mazatlán
2022,apertura_mexico,10,26 Sep 21 a las 00:00,Estadio Jalisco, Atlas Guadalajara,2,0, León
2022,apertura_mexico,10,26 Sep 21 a las 02:00,Estadio Universitario de Nuevo León, Tigres UANL,0,0, Pumas UNAM
2022,apertura_mexico,10,26 Sep 21 a las 04:00,Estadio Azteca, América,0,0, Chivas Guadalajara
2022,apertura_mexico,10,26 Sep 21 a las 19:00,Nemesio Díez, Toluca,1,2, Atl. San Luis
2022,apertura_mexico,10,27 Sep 21 a las 02:06,Nuevo Estadio Corona, Santos Laguna,1,2, Monterrey
2022,apertura_mexico,10,09 Oct 21 a las 02:00,Estadio Olímpico Benito Juárez, FC Juárez,0,0, Querétaro
2022,apertura_mexico,11,23 Sep 21 a las 02:06,BBVA Bancomer, Monterrey,2,0, Toluca
2022,apertura_mexico,11,29 Sep 21 a las 00:00,Estadio Victoria de Aguascalientes, Necaxa,3,0, Tijuana
2022,apertura_mexico,11,29 Sep 21 a las 02:00,Estadio de Mazatlán, Mazatlán,3,1, FC Juárez
2022,apertura_mexico,11,29 Sep 21 a las 04:00,Estadio Jalisco, Atlas Guadalajara,0,1, Puebla
2022,apertura_mexico,11,29 Sep 21 a las 04:05,Estadio Miguel Hidalgo, Pachuca,1,1, América
2022,apertura_mexico,11,30 Sep 21 a las 00:00,Alfonso Lastras Ramírez, Atl. San Luis,0,3, Tigres UANL
2022,apertura_mexico,11,30 Sep 21 a las 04:15,Estadio Corregidora, Querétaro,1,0, Chivas Guadalajara
2022,apertura_mexico,11,04 Nov 21 a las 04:00,Estadio Azteca, Cruz Azul,0,1, León
2022,apertura_mexico,11,05 Nov 21 a las 02:00,Olímpico de Universitario, Pumas UNAM,0,3, Santos Laguna
2022,apertura_mexico,12,02 Oct 21 a las 02:00,Cuauhtémoc, Puebla,1,2, Pachuca
2022,apertura_mexico,12,02 Oct 21 a las 04:00,Estadio Olímpico Benito Juárez, FC Juárez,3,1, Monterrey
2022,apertura_mexico,12,03 Oct 21 a las 00:00,Estadio León (Nou Camp), León,0,0, Atl. San Luis
2022,apertura_mexico,12,03 Oct 21 a las 02:06,Nuevo Estadio Corona, Santos Laguna,1,0, Mazatlán
2022,apertura_mexico,12,03 Oct 21 a las 04:00,Estadio Akron, Chivas Guadalajara,0,1, Atlas Guadalajara
2022,apertura_mexico,12,03 Oct 21 a las 19:00,Nemesio Díez, Toluca,1,1, Querétaro
2022,apertura_mexico,12,04 Oct 21 a las 00:00,Estadio Azteca, América,2,0, Pumas UNAM
2022,apertura_mexico,12,04 Oct 21 a las 02:00,Estadio Universitario de Nuevo León, Tigres UANL,0,0, Necaxa
2022,apertura_mexico,12,04 Oct 21 a las 04:06,Estadio Caliente, Tijuana,0,1, Cruz Azul
2022,apertura_mexico,13,15 Oct 21 a las 03:00,Estadio Corregidora, Querétaro,1,1, Tijuana
2022,apertura_mexico,13,16 Oct 21 a las 02:00,Estadio Victoria de Aguascalientes, Necaxa,0,1, Puebla
2022,apertura_mexico,13,16 Oct 21 a las 04:00,Estadio de Mazatlán, Mazatlán,1,0, Atlas Guadalajara
2022,apertura_mexico,13,17 Oct 21 a las 00:00,BBVA Bancomer, Monterrey,0,1, León
2022,apertura_mexico,13,17 Oct 21 a las 02:00,Alfonso Lastras Ramírez, Atl. San Luis,0,1, América
2022,apertura_mexico,13,17 Oct 21 a las 02:05,Estadio Miguel Hidalgo, Pachuca,1,1, Santos Laguna
2022,apertura_mexico,13,17 Oct 21 a las 04:00,Estadio Azteca, Cruz Azul,1,1, Tigres UANL
2022,apertura_mexico,13,17 Oct 21 a las 19:00,Olímpico de Universitario, Pumas UNAM,1,0, FC Juárez
2022,apertura_mexico,13,18 Oct 21 a las 00:00,Estadio Akron, Chivas Guadalajara,2,0, Toluca
2022,apertura_mexico,14,22 Sep 21 a las 04:00,Estadio Olímpico Benito Juárez, FC Juárez,1,0, Atl. San Luis
2022,apertura_mexico,14,20 Oct 21 a las 00:00,Estadio Corregidora, Querétaro,1,0, Monterrey
2022,apertura_mexico,14,20 Oct 21 a las 02:00,Cuauhtémoc, Puebla,2,0, Mazatlán
2022,apertura_mexico,14,20 Oct 21 a las 02:05,Estadio Azteca, América,2,1, Santos Laguna
2022,apertura_mexico,14,20 Oct 21 a las 04:05,Estadio Jalisco, Atlas Guadalajara,0,0, Cruz Azul
2022,apertura_mexico,14,21 Oct 21 a las 02:00,Nemesio Díez, Toluca,1,1, Necaxa
2022,apertura_mexico,14,21 Oct 21 a las 02:00,Estadio León (Nou Camp), León,1,2, Pumas UNAM
