ID,Age,Experience,Income,ZIP Code,Family,h1,h2,h3,h4
1,25,1,49,91107,4,10137,16175,42874,14224
2,45,19,34,90089,3,12169,21018,28045,3511
3,39,15,11,94720,1,14979,18865,19419,61858
4,35,9,100,94112,1,12700,13616,28942,62794
5,35,8,45,91330,4,12575,16167,16494,46940
6,37,13,29,92121,4,13817,13690,19343,61933
7,53,27,72,91711,2,10894,20838,23006,36190
8,50,24,22,93943,1,12496,20212,39725,69422
9,35,10,81,90089,3,11415,17804,25956,14451
10,34,9,180,93023,1,12919,13760,20597,59584
11,65,39,105,94710,4,10570,17166,23144,17259
12,29,5,45,90277,3,14365,19050,37675,20844
13,48,23,114,93106,2,14134,16609,41646,55249
14,59,32,40,94920,4,13808,16636,41222,20678
15,67,41,112,91741,1,12112,15962,41386,68661
16,60,30,22,95054,1,11793,19293,23096,67317
17,38,14,130,95010,4,14853,16410,15963,13768
18,42,18,81,94305,4,13036,21559,32658,71498
19,46,21,193,91604,2,10063,20202,34838,39782
20,55,28,21,94720,1,12861,13933,33330,70664
21,56,31,25,94015,4,10808,16473,16788,60414
22,57,27,63,90095,3,10166,19686,42672,68877
23,29,5,62,90277,1,13927,18365,43474,12309
24,44,18,43,91320,2,13533,13036,18678,28537
25,36,11,152,95521,2,13275,13124,28294,67523
26,43,19,29,94305,3,14737,23860,16219,64943
27,40,16,83,95064,4,13574,19498,37823,57702
28,46,20,158,90064,1,14072,13147,44521,17764
29,56,30,48,94539,1,10691,24564,23066,52056
30,38,13,119,94104,1,12024,19053,31543,69321
31,59,35,35,93106,1,12188,22501,23588,43121
32,40,16,29,94117,1,12242,23897,30681,52177
33,53,28,41,94801,2,10850,24304,37735,63589
34,30,6,18,91330,3,10993,24445,42367,4772
35,31,5,50,94035,4,11248,23074,27587,57672
36,48,24,81,92647,3,13114,23322,34158,8236
37,59,35,121,94720,1,13912,22338,31716,65271
38,51,25,71,95814,1,10523,12623,31330,26477
39,42,18,141,94114,3,14279,21083,33729,27802
40,38,13,80,94115,4,10905,12674,38551,30386
41,57,32,84,92672,3,13688,13779,39185,70919
42,34,9,60,94122,3,14858,16077,21937,26320
43,32,7,132,90019,4,11494,21175,17812,65260
44,39,15,45,95616,1,13522,14614,32580,49943
45,46,20,104,94065,1,11145,22284,30468,20649
46,57,31,52,94720,4,10979,15780,15523,29192
47,39,14,43,95014,3,11253,20181,34429,23136
48,37,12,194,91380,4,10100,18100,26280,51329
49,56,26,81,95747,2,11271,12593,22310,65596
50,40,16,49,92373,1,14526,14062,19887,13382
51,32,8,8,92093,4,11205,21318,44580,22732
52,61,37,131,94720,1,11182,19082,21461,57735
53,30,6,72,94005,1,12537,20565,39260,14150
54,50,26,190,90245,3,11692,18706,35401,51675
55,29,5,44,95819,1,12347,19848,18810,16271
56,41,17,139,94022,2,14841,13163,23208,54723
57,55,30,29,94005,3,11961,24920,41367,5501
58,56,31,131,95616,2,12525,20271,18033,3748
59,28,2,93,94065,2,12772,17703,34740,50358
60,31,5,188,91320,2,10461,14847,40157,4953
61,49,24,39,90404,3,13395,12920,37957,43239
62,47,21,125,93407,1,10920,17058,33865,51438
63,42,18,22,90089,1,14745,20639,28735,17506
64,42,17,32,94523,4,14662,20211,26923,35041
65,47,23,105,90024,2,12025,21968,37842,10318
66,59,35,131,91360,1,13655,19836,23740,21259
67,62,36,105,95670,2,13904,13242,31303,73107
68,53,23,45,95123,4,11219,20932,20027,71642
69,47,21,60,93407,3,14240,20936,42671,58840
70,53,29,20,90045,4,14755,13519,25340,23513
71,42,18,115,91335,1,12779,19590,43363,40281
72,53,29,69,93907,4,13796,17507,40229,3097
73,44,20,130,92007,1,13932,16313,24926,59226
74,41,16,85,94606,1,12558,15845,42986,54025
75,28,3,135,94611,2,12556,15508,37078,60263
76,31,7,135,94901,4,11645,18226,39634,45458
77,58,32,12,91320,3,14078,16430,43609,18272
78,46,20,29,92220,3,14918,15859,31082,50859
79,54,30,133,93305,2,11968,24768,22775,28695
80,50,26,19,94720,2,14477,23020,19006,22341
81,60,36,41,95134,4,10864,24686,40710,14266
82,47,22,40,94612,3,13050,22965,33613,46547
83,41,16,82,92507,1,10491,18593,43172,41076
84,33,9,50,94305,1,13123,15204,19575,4474
85,46,22,18,91730,1,11978,22335,26298,67450
86,27,2,109,94005,4,11721,22776,22169,46526
87,40,16,42,94501,4,14551,20696,42724,28485
88,48,22,78,94305,3,12708,19361,36710,74342
89,65,41,51,94117,2,10698,17930,21851,70482
90,25,-1,113,94303,4,12585,19081,20960,9095
91,55,30,118,90277,4,10268,23445,19831,20221
92,35,10,29,94105,4,14541,17607,36654,51612
93,43,19,34,94305,3,13302,21553,39873,56264
94,60,34,64,94550,2,13700,16880,41287,61260
95,65,39,121,92612,1,14430,20043,21405,45556
96,38,12,48,95617,4,12057,24434,34562,33532
97,41,15,80,95014,1,13894,22421,22381,12060
98,54,28,161,92121,1,11492,19651,34420,3360
99,49,23,94,92374,1,11678,14910,37987,7440
100,66,41,15,91711,3,14766,14449,25353,6126
101,48,23,74,94080,1,13198,20911,18004,74196
102,61,36,30,94608,3,11664,24865,32796,18348
103,53,23,44,93555,3,10684,15095,21574,69246
104,43,18,22,95670,2,12279,15421,38435,49440
105,56,32,38,93311,4,11040,15370,29627,21829
106,24,0,35,94704,3,12859,17580,32376,71483
107,43,17,69,92717,4,14933,16809,18721,31394
108,42,18,43,92037,1,13202,20838,31580,48163
109,33,7,32,95136,1,11189,20469,38937,13823
110,43,17,49,94542,1,11197,20461,38985,3140
111,41,14,9,91330,3,10056,20679,24154,30659
112,62,38,45,94143,4,10864,16947,19756,57731
113,40,15,82,91775,3,12023,22093,23171,9592
114,58,34,92,92703,2,10183,22080,19813,48701
115,39,14,39,92354,3,14122,24516,31283,25830
116,65,40,81,92024,3,14634,21184,37408,68035
117,54,29,35,92831,1,11970,16530,36927,30503
118,58,33,61,92833,2,13814,23963,41220,5306
119,41,16,73,92647,3,10086,15791,23892,64503
120,32,7,112,94304,1,11792,17287,30645,59535
121,54,29,12,90057,2,10029,13895,15598,25395
122,52,26,38,91711,3,11186,20580,39302,15508
123,58,32,73,94523,2,10742,17619,32119,74360
124,37,13,84,92130,1,10800,22059,35009,57497
125,39,15,78,92121,4,13742,19866,20320,14659
126,60,35,80,91301,3,13324,17695,30140,59999
127,31,5,115,92096,2,10784,19349,36487,11008
128,34,8,82,92646,1,12086,17201,41380,71651
129,38,14,74,92182,2,14869,20915,27657,64463
130,41,16,70,92131,3,12405,15884,18399,60785
131,28,4,81,94801,3,13318,20890,39287,68201
132,58,34,149,93720,4,12375,14538,32277,55919
133,31,1,51,90840,2,11699,23769,29826,53708
134,30,4,39,90245,3,10130,24941,40888,12242
135,53,29,98,95035,3,14022,13585,26969,12632
136,58,33,45,93010,4,12969,19031,36669,45815
137,59,32,49,95035,4,11334,14818,16874,53658
138,49,25,128,95054,2,10445,18895,24425,3047
139,59,34,42,94928,3,10401,22392,32977,24415
140,59,35,18,93305,1,11317,24013,34073,67381
141,51,25,31,90245,2,10514,22170,21927,36289
142,35,11,58,95831,3,12469,15456,44246,31979
143,33,9,48,91770,1,11034,19229,42016,18359
144,25,1,54,94117,4,13693,16875,20052,73409
