Home \ Away,AMÉ,ATL,ASL,CAZ,GUA,JUÁ,LEÓ,MAZ,MON,NEC,PAC,PUE,QUE,SAN,TIJ,TOL,UNL,UNM
América,—,—,—,—,0–0,—,—,2–0,0–0,2–1,—,2–0,—,2–1,2–0,—,1–0,2–0
Atlas,0–1,—,—,0–0,—,2–0,2–0,—,2–1,—,—,0–1,2–0,—,0–2,0–0,—,—
Atlético San Luis,0–1,2–6,—,0–0,—,—,—,—,1–1,0–2,—,—,1–1,—,4–1,—,0–3,—
Cruz Azul,2–1,—,—,—,—,—,0–1,0–2,1–1,—,1–1,—,2–0,—,—,4–0,1–1,3–4
Guadalajara,—,0–1,1–2,1–1,—,2–2,0–3,—,—,2–1,1–0,—,—,—,—,2–0,—,—
Juárez,1–2,—,1–0,2–1,—,—,—,—,3–1,—,—,0–2,0–0,—,1–1,1–3,—,—
León,1–1,—,0–0,—,—,0–1,—,3–0,—,3–0,—,—,—,1–1,2–1,—,—,1–2
Mazatlán,—,1–0,2–2,—,0–1,3–1,—,—,1–1,—,2–1,—,2–1,—,—,—,0–3,2–2
Monterrey,—,—,—,—,0–0,—,0–1,—,—,0–1,3–1,1–1,—,—,—,2–0,2–0,2–0
Necaxa,—,0–3,—,1–2,—,1–0,—,2–1,—,—,—,0–1,—,0–3,3–0,—,—,3–0
Pachuca,1–1,0–1,0–0,—,—,1–1,4–0,—,—,1–0,—,—,—,1–1,—,1–2,—,1–1
Puebla,—,—,2–2,1–1,0–2,—,0–1,2–0,—,—,1–2,—,1–0,2–2,—,1–0,1–1,—
Querétaro,0–0,—,—,—,1–0,—,0–1,—,1–0,3–0,0–2,—,—,2–3,1–1,—,—,—
Santos Laguna,—,1–1,0–0,1–1,0–0,2–0,—,1–0,1–2,—,—,1–1,—,—,—,2–2,—,—
Tijuana,—,—,—,0–1,0–0,—,—,0–0,2–2,—,3–2,1–1,—,2–1,—,0–2,1–2,—
Toluca,3–1,—,1–2,—,—,—,0–0,2–2,—,1–1,—,—,1–1,—,—,—,3–1,2–1
UANL,—,1–1,—,—,2–1,3–0,2–2,—,—,0–0,3–0,—,3–0,1–1,—,—,—,1–1
UNAM,—,0–0,1–3,4–3,0–0,1–0,—,—,—,—,—,2–0,0–0,0–3,3–1,—,—,—
